# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 1.653590547074195712e+18 4.084754887820275712e+19 9.653304178050593587e+19 1.580873901355113841e+20 1.565805628216841994e+20 1.015980542750302208e+20
5.000000000000000000e-01 1.653590034779648768e+18 4.084693388728539546e+19 9.651597936178218598e+19 1.578302704707992289e+20 1.558114696824610816e+20 9.848667476792875418e+19
1.000000000000000000e+00 1.653589522506334208e+18 4.084631912947306496e+19 9.649899197277460890e+19 1.575842735168134513e+20 1.551274624487269990e+20 9.634900870003816858e+19
1.500000000000000000e+00 1.653589010254251264e+18 4.084570460450069709e+19 9.648207860912431104e+19 1.573481688024356291e+20 1.545009478604948111e+20 9.463181340409579110e+19
2.000000000000000000e+00 1.653588498023397120e+18 4.084509031210366566e+19 9.646523828796963226e+19 1.571209093875203441e+20 1.539191627034662011e+20 9.316369765098291200e+19
2.500000000000000000e+00 1.653587985813772032e+18 4.084447625201783603e+19 9.644847004735961498e+19 1.569016004212181565e+20 1.533741085050854441e+20 9.186649379150993818e+19
3.000000000000000000e+00 1.653587473625372416e+18 4.084386242397952410e+19 9.643177294568562688e+19 1.566894735257097667e+20 1.528601089679304950e+20 9.069654887201985331e+19
3.500000000000000000e+00 1.653586961458197504e+18 4.084324882772552909e+19 9.641514606113107149e+19 1.564838658714095124e+20 1.523728713688636129e+20 8.962641872756323123e+19
4.000000000000000000e+00 1.653586449312245504e+18 4.084263546299305984e+19 9.639858849113777766e+19 1.562842030379108925e+20 1.519090227162707722e+20 8.863744796716636570e+19
4.500000000000000000e+00 1.653585937187515904e+18 4.084202232951986586e+19 9.638209935188903526e+19 1.560899849361246781e+20 1.514658434093435781e+20 8.771623109911406182e+19
5.000000000000000000e+00 1.653585425084005120e+18 4.084140942704407347e+19 9.636567777780886733e+19 1.559007742110780948e+20 1.510410986114647327e+20 8.685272721016931942e+19
5.500000000000000000e+00 1.653584913001713408e+18 4.084079675530433331e+19 9.634932292107608064e+19 1.557161866594590392e+20 1.506329241949134520e+20 8.603917031945828762e+19
6.000000000000000000e+00 1.653584400940637952e+18 4.084018431403973018e+19 9.633303395115415962e+19 1.555358832873241969e+20 1.502397459625434481e+20 8.526939867304401306e+19
6.500000000000000000e+00 1.653583888900777984e+18 4.083957210298980762e+19 9.631681005433444762e+19 1.553595637062765445e+20 1.498602205036945408e+20 8.453842068750339277e+19
7.000000000000000000e+00 1.653583376882131456e+18 4.083896012189457613e+19 9.630065043329440154e+19 1.551869606246574653e+20 1.494931907917874463e+20 8.384212236411853210e+19
7.500000000000000000e+00 1.653582864884696576e+18 4.083834837049446400e+19 9.628455430666842931e+19 1.550178352369124639e+20 1.491376521858866545e+20 8.317706330507979981e+19
8.000000000000000000e+00 1.653582352908471552e+18 4.083773684853043200e+19 9.626852090863226061e+19 1.548519733516487885e+20 1.487927259755383030e+20 8.254033041548120883e+19
8.500000000000000000e+00 1.653581840953455872e+18 4.083712555574379315e+19 9.625254948849958912e+19 1.546891821288985723e+20 1.484576385129446441e+20 8.192943041350714982e+19
9.000000000000000000e+00 1.653581329019646976e+18 4.083651449187640115e+19 9.623663931033113395e+19 1.545292873212202516e+20 1.481317045567568937e+20 8.134220919106179891e+19
9.500000000000000000e+00 1.653580817107043328e+18 4.083590365667051110e+19 9.622078965255538278e+19 1.543721309327072952e+20 1.478143138376484454e+20 8.077679020799131648e+19
1.000000000000000000e+01 1.653580305215644160e+18 4.083529304986884506e+19 9.620499980760057446e+19 1.542175692256506020e+20 1.475049201200553656e+20 8.023152666844173107e+19
1.050000000000000000e+01 1.653579793345446656e+18 4.083468267121459200e+19 9.618926908153787187e+19 1.540654710172862710e+20 1.472030322197278720e+20 7.970496386584788992e+19
1.100000000000000000e+01 1.653579281496450304e+18 4.083407252045134234e+19 9.617359679373518438e+19 1.539157162193325261e+20 1.469082065692067103e+20 7.919580915685567693e+19
1.150000000000000000e+01 1.653578769668652544e+18 4.083346259732316979e+19 9.615798227652109926e+19 1.537681945813607383e+20 1.466200410196428063e+20 7.870290774510393754e+19
1.200000000000000000e+01 1.653578257862052608e+18 4.083285290157462323e+19 9.614242487485902029e+19 1.536228046058309878e+20 1.463381696384015729e+20 7.822522294960902963e+19
1.250000000000000000e+01 1.653577746076648448e+18 4.083224343295062835e+19 9.612692394603066163e+19 1.534794526081550909e+20 1.460622583149325189e+20 7.776181997730268774e+19
1.300000000000000000e+01 1.653577234312438528e+18 4.083163419119659418e+19 9.611147885932920832e+19 1.533380518996700037e+20 1.457920010274351022e+20 7.731185246417410458e+19
1.350000000000000000e+01 1.653576722569421312e+18 4.083102517605838848e+19 9.609608899576106189e+19 1.531985220751076884e+20 1.455271166534027182e+20 7.687455122611827507e+19
1.400000000000000000e+01 1.653576210847595008e+18 4.083041638728228864e+19 9.608075374775674470e+19 1.530607883891862405e+20 1.452673462306482422e+20 7.644921478984153498e+19
1.450000000000000000e+01 1.653575699146958336e+18 4.082980782461503078e+19 9.606547251889002906e+19 1.529247812094483825e+20 1.450124505936727572e+20 7.603520136997366989e+19
1.500000000000000000e+01 1.653575187467509504e+18 4.082919948780380160e+19 9.605024472360507802e+19 1.527904355345368351e+20 1.447622083245287178e+20 7.563192203040301056e+19
1.550000000000000000e+01 1.653574675809246720e+18 4.082859137659622195e+19 9.603506978695199130e+19 1.526576905688029266e+20 1.445164139685931254e+20 7.523883482236778906e+19
1.600000000000000000e+01 1.653574164172168960e+18 4.082798349074031411e+19 9.601994714432931430e+19 1.525264893455583478e+20 1.442748764746045686e+20 7.485543973361208525e+19
1.650000000000000000e+01 1.653573652556273408e+18 4.082737582998462464e+19 9.600487624123472282e+19 1.523967783924573798e+20 1.440374178254618624e+20 7.448127431524307763e+19
1.700000000000000000e+01 1.653573140961560576e+18 4.082676839407805235e+19 9.598985653302213018e+19 1.522685074334769480e+20 1.438038718320213852e+20 7.411590987815939277e+19
