# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 5.987622778581762703e+20 3.952173721497643254e+21 3.468814999740930327e+21 2.495434946695573012e+21 1.558150930243284894e+21 8.149341017007397274e+20
5.000000000000000000e-01 5.987621593018227753e+20 3.952121776501856141e+21 3.468235293504338657e+21 2.491190903455919636e+21 1.550891394232410440e+21 7.887950355795275940e+20
1.000000000000000000e+00 5.987620407503355904e+20 3.952069852866647425e+21 3.467657849975075242e+21 2.487124128947407684e+21 1.544410667500232770e+21 7.709040418462426726e+20
1.500000000000000000e+00 5.987619222037143224e+20 3.952017950566115181e+21 3.467082642083734880e+21 2.483215897669365924e+21 1.538462330988870762e+21 7.565589700821959311e+20
2.000000000000000000e+00 5.987618036619584471e+20 3.951966069574408339e+21 3.466509643302796526e+21 2.479450153117017965e+21 1.532930848247098376e+21 7.443094812293073469e+20
2.500000000000000000e+00 5.987616851250679644e+20 3.951914209865715679e+21 3.465938827632289251e+21 2.475813069699780968e+21 1.527743107160426676e+21 7.334955721223692616e+20
3.000000000000000000e+00 5.987615665930419569e+20 3.951862371414281028e+21 3.465370169585911202e+21 2.472292692751804793e+21 1.522846857746075353e+21 7.237492294156907971e+20
3.500000000000000000e+00 5.987614480658804244e+20 3.951810554194389107e+21 3.464803644177570071e+21 2.468878641935390605e+21 1.518202377525410660e+21 7.148393765724448358e+20
4.000000000000000000e+00 5.987613295435829740e+20 3.951758758180373922e+21 3.464239226908331475e+21 2.465561866213414404e+21 1.513778326450778145e+21 7.066091040407557243e+20
4.500000000000000000e+00 5.987612110261493432e+20 3.951706983346619286e+21 3.463676893753778373e+21 2.462334440863644516e+21 1.509549351899037958e+21 6.989457622840100782e+20
5.000000000000000000e+00 5.987610925135786148e+20 3.951655229667553051e+21 3.463116621151740625e+21 2.459189398844871279e+21 1.505494563582503813e+21 6.917650431504841441e+20
5.500000000000000000e+00 5.987609740058709197e+20 3.951603497117649207e+21 3.462558385990405194e+21 2.456120590296235901e+21 1.501596496703976112e+21 6.850017867243904041e+20
6.000000000000000000e+00 5.987608555030259958e+20 3.951551785671431029e+21 3.462002165596796486e+21 2.453122565131551638e+21 1.497840374298375881e+21 6.786043266531896852e+20
6.500000000000000000e+00 5.987607370050429256e+20 3.951500095303463731e+21 3.461447937725574939e+21 2.450190474638790230e+21 1.494213564985296814e+21 6.725308329463987569e+20
7.000000000000000000e+00 5.987606185119217091e+20 3.951448425988364960e+21 3.460895680548206281e+21 2.447319988758123119e+21 1.490705174445151486e+21 6.667468481740252119e+20
7.500000000000000000e+00 5.987605000236620841e+20 3.951396777700794302e+21 3.460345372642428584e+21 2.444507226327062413e+21 1.487305731639578722e+21 6.612235706844428370e+20
8.000000000000000000e+00 5.987603815402631332e+20 3.951345150415458009e+21 3.459796992982058533e+21 2.441748696077990101e+21 1.484006943969336361e+21 6.559366239436134154e+20
8.500000000000000000e+00 5.987602630617249874e+20 3.951293544107110564e+21 3.459250520927078187e+21 2.439041246575164654e+21 1.480801503659891622e+21 6.508651527637556265e+20
9.000000000000000000e+00 5.987601445880471224e+20 3.951241958750552064e+21 3.458705936214026879e+21 2.436382023603847692e+21 1.477682932875454841e+21 6.459911456013046252e+20
9.500000000000000000e+00 5.987600261192290140e+20 3.951190394320626123e+21 3.458163218946688287e+21 2.433768433788575023e+21 1.474645458539223187e+21 6.412989170436630118e+20
1.000000000000000000e+01 5.987599076552706621e+20 3.951138850792225636e+21 3.457622349587029164e+21 2.431198113432550244e+21 1.471683910226135220e+21 6.367747062420454769e+20
1.050000000000000000e+01 5.987597891961715425e+20 3.951087328140283347e+21 3.457083308946423284e+21 2.428668901745450549e+21 1.468793636174320632e+21 6.324063608580936827e+20
1.100000000000000000e+01 5.987596707419309998e+20 3.951035826339786523e+21 3.456546078177128612e+21 2.426178817769992094e+21 1.465970433666165768e+21 6.281830851426818458e+20
1.150000000000000000e+01 5.987595522925491651e+20 3.950984345365762277e+21 3.456010638764003033e+21 2.423726040434778571e+21 1.463210490908211675e+21 6.240952368372927693e+20
1.200000000000000000e+01 5.987594338480249897e+20 3.950932885193280717e+21 3.455476972516481171e+21 2.421308891256967397e+21 1.460510338188542214e+21 6.201341617479551549e+20
1.250000000000000000e+01 5.987593154083587359e+20 3.950881445797462802e+21 3.454945061560763548e+21 2.418925819297267188e+21 1.457866806576489431e+21 6.162920577453428572e+20
1.300000000000000000e+01 5.987591969735497482e+20 3.950830027153472487e+21 3.454414888332245860e+21 2.416575388034791899e+21 1.455276992797489496e+21 6.125618620063508070e+20
1.350000000000000000e+01 5.987590785435975025e+20 3.950778629236517765e+21 3.453886435568159031e+21 2.414256263882963681e+21 1.452738229197240009e+21 6.089371567992180572e+20
1.400000000000000000e+01 5.987589601185017364e+20 3.950727252021852766e+21 3.453359686300423160e+21 2.411967206112105071e+21 1.450248057926346080e+21 6.054120902017693778e+20
1.450000000000000000e+01 5.987588416982623191e+20 3.950675895484777234e+21 3.452834623848710668e+21 2.409707057981143122e+21 1.447804208645425070e+21 6.019813089481987195e+20
1.500000000000000000e+01 5.987587232828787261e+20 3.950624559600636002e+21 3.452311231813696094e+21 2.407474738911519441e+21 1.445404579183009464e+21 5.986399012042075013e+20
1.550000000000000000e+01 5.987586048723505644e+20 3.950573244344813748e+21 3.451789494070510879e+21 2.405269237561857409e+21 1.443047218683048886e+21 5.953833475286353838e+20
1.600000000000000000e+01 5.987584864666774405e+20 3.950521949692746007e+21 3.451269394762369597e+21 2.403089605683262259e+21 1.440730312861884350e+21 5.922074786308965007e+20
1.650000000000000000e+01 5.987583680658589614e+20 3.950470675619909730e+21 3.450750918294392799e+21 2.400934952652966461e+21 1.438452171061028717e+21 5.891084388051674726e+20
1.700000000000000000e+01 5.987582496698947338e+20 3.950419422101826437e+21 3.450234049327590277e+21 2.398804440598970368e+21 1.436211214835536626e+21 5.860826541342645289e+20
1.750000000000000000e+01 5.987581312787847578e+20 3.950368189114063782e+21 3.449718772773013160e+21 2.396697280040941388e+21 1.434005967861081965e+21 5.831268047229861233e+20
1.800000000000000000e+01 5.987580128925278536e+20 3.950316976632231887e+21 3.449205073786081116e+21 2.394612725983208276e+21 1.431835046978047705e+21 5.802378003529775841e+20
1.850000000000000000e+01 5.987578945111244145e+20 3.950265784631984390e+21 3.448692937761054261e+21 2.392550074404702257e+21 1.429697154219777720e+21 5.774127590568637235e+20
1.900000000000000000e+01 5.987577761345735229e+20 3.950214613089021067e+21 3.448182350325663924e+21 2.390508659098237010e+21 1.427591069695828034e+21 5.746489881943795958e+20
1.950000000000000000e+01 5.987576577628753101e+20 3.950163461979084685e+21 3.447673297335895458e+21 2.388487848818003411e+21 1.425515645220610638e+21 5.719439676820153303e+20
