# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 2.463315951714053000e+15 2.040056556912612800e+17 8.129467589037177600e+17 5.992274545365264384e+18 1.257080882984498995e+19 1.252705086084254515e+19
5.000000000000000000e-01 2.463313722434888000e+15 2.040024875019831680e+17 8.127585967910238720e+17 5.979466398624961536e+18 1.248956942627538944e+19 1.215253718918270771e+19
1.000000000000000000e+00 2.463311493247426500e+15 2.039993204973269760e+17 8.125715092840432640e+17 5.967299822421578752e+18 1.241698038361305088e+19 1.188885252934301286e+19
1.500000000000000000e+00 2.463309264151662500e+15 2.039961546759589440e+17 8.123854793681670400e+17 5.955696370856601600e+18 1.235034728883492659e+19 1.167421086016017818e+19
2.000000000000000000e+00 2.463307035147588000e+15 2.039929900365473920e+17 8.122004904255983360e+17 5.944590280555992064e+18 1.228840032435053158e+19 1.148912460574599782e+19
2.500000000000000000e+00 2.463304806235197000e+15 2.039898265777632320e+17 8.120165262241203200e+17 5.933926148942328832e+18 1.223032876834383667e+19 1.132459045055719629e+19
3.000000000000000000e+00 2.463302577414483000e+15 2.039866642982795520e+17 8.118335709062170880e+17 5.923657066411598848e+18 1.217554914410873651e+19 1.117552064663971226e+19
3.500000000000000000e+00 2.463300348685439500e+15 2.039835031967717760e+17 8.116516089785396480e+17 5.913743110182136832e+18 1.212361578344691917e+19 1.103868179372952576e+19
4.000000000000000000e+00 2.463298120048058500e+15 2.039803432719176640e+17 8.114706253017031680e+17 5.904150126790733824e+18 1.207417602030478541e+19 1.091185482148621517e+19
4.500000000000000000e+00 2.463295891502334500e+15 2.039771845223973760e+17 8.112906050804048640e+17 5.894848745350969344e+18 1.202694404130347008e+19 1.079343180540523520e+19
5.000000000000000000e+00 2.463293663048261000e+15 2.039740269468931840e+17 8.111115338538497280e+17 5.885813575633316864e+18 1.198168407867224064e+19 1.068219967977987277e+19
5.500000000000000000e+00 2.463291434685829000e+15 2.039708705440898240e+17 8.109333974864782080e+17 5.877022554458673152e+18 1.193819889751445709e+19 1.057721435212588237e+19
6.000000000000000000e+00 2.463289206415034500e+15 2.039677153126742400e+17 8.107561821589811200e+17 5.868456411352216576e+18 1.189632155819030118e+19 1.047772268832027238e+19
6.500000000000000000e+00 2.463286978235869000e+15 2.039645612513357120e+17 8.105798743595944960e+17 5.860098230303493120e+18 1.185590933540823859e+19 1.038311169731908813e+19
7.000000000000000000e+00 2.463284750148327500e+15 2.039614083587658240e+17 8.104044608756652800e+17 5.851933089151113216e+18 1.181683912304449536e+19 1.029287407023927296e+19
7.500000000000000000e+00 2.463282522152401500e+15 2.039582566336583360e+17 8.102299287854746880e+17 5.843947761815764992e+18 1.177900389711109734e+19 1.020658401953250509e+19
8.000000000000000000e+00 2.463280294248085000e+15 2.039551060747094400e+17 8.100562654503198720e+17 5.836130471547136000e+18 1.174230995173025382e+19 1.012387986020183450e+19
8.500000000000000000e+00 2.463278066435371500e+15 2.039519566806174400e+17 8.098834585068344320e+17 5.828470685689056256e+18 1.170667471126538650e+19 1.004445114985588326e+19
9.000000000000000000e+00 2.463275838714254500e+15 2.039488084500830080e+17 8.097114958595450880e+17 5.820958944328904704e+18 1.167202497900742861e+19 9.968028998098851840e+18
9.500000000000000000e+00 2.463273611084726000e+15 2.039456613818091200e+17 8.095403656736597760e+17 5.813586716681522176e+18 1.163829552126601830e+19 9.894378632762224640e+18
1.000000000000000000e+01 2.463271383546781000e+15 2.039425154745007360e+17 8.093700563680728320e+17 5.806346280242794496e+18 1.160542791227294515e+19 9.823293607255646208e+18
