# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 4.673878947993860096e+18 1.253406474501479465e+20 2.739181436044960399e+20 3.124709710581577155e+20 2.600174335272671969e+20 1.570721002645175992e+20
5.000000000000000000e-01 4.673877495569266688e+18 1.253388397445485036e+20 2.738712646132651459e+20 3.119476723976505917e+20 2.587697090453168128e+20 1.521997247474717819e+20
1.000000000000000000e+00 4.673876043203894272e+18 1.253370327214105559e+20 2.738245818020588749e+20 3.114466856537991414e+20 2.576588879139268198e+20 1.488560491092018135e+20
1.500000000000000000e+00 4.673874590897735680e+18 1.253352263799551754e+20 2.737780926492846653e+20 3.109656010687038751e+20 2.566409087974206341e+20 1.461718107860610089e+20
2.000000000000000000e+00 4.673873138650783744e+18 1.253334207194049085e+20 2.737317946861391380e+20 3.105023598059293901e+20 2.556952908575743672e+20 1.438779244100071916e+20
2.500000000000000000e+00 4.673871686463036416e+18 1.253316157389834650e+20 2.736856854951822950e+20 3.100551951578765722e+20 2.548091580346806108e+20 1.418517319655767572e+20
3.000000000000000000e+00 4.673870234334488576e+18 1.253298114379160617e+20 2.736397627089549066e+20 3.096225844326429491e+20 2.539733531135848940e+20 1.400247675166924636e+20
3.500000000000000000e+00 4.673868782265139200e+18 1.253280078154292920e+20 2.735940240086399713e+20 3.092032094764579553e+20 2.531809406399904809e+20 1.383540062617305416e+20
4.000000000000000000e+00 4.673867330254980096e+18 1.253262048707510600e+20 2.735484671227652342e+20 3.087959241933619855e+20 2.524264652286988452e+20 1.368102135004557476e+20
4.500000000000000000e+00 4.673865878304005120e+18 1.253244026031106458e+20 2.735030898259445678e+20 3.083997277467489731e+20 2.517055247009901445e+20 1.353723891782034391e+20
5.000000000000000000e+00 4.673864426412216320e+18 1.253226010117387059e+20 2.734578899376601825e+20 3.080137423849099100e+20 2.510144992868938220e+20 1.340248089922775450e+20
5.500000000000000000e+00 4.673862974579602432e+18 1.253208000958672241e+20 2.734128653210801603e+20 3.076371950383078441e+20 2.503503681553308385e+20 1.327553147033243648e+20
6.000000000000000000e+00 4.673861522806164480e+18 1.253189998547295273e+20 2.733680138819134423e+20 3.072694020007003423e+20 2.497105792923393720e+20 1.315542620498437243e+20
6.500000000000000000e+00 4.673860071091893248e+18 1.253172002875603354e+20 2.733233335672992563e+20 3.069097561378536161e+20 2.490929541185558610e+20 1.304138400495360573e+20
7.000000000000000000e+00 4.673858619436789760e+18 1.253154013935956787e+20 2.732788223647300649e+20 3.065577161731390833e+20 2.484956158117062246e+20 1.293276122720416891e+20
7.500000000000000000e+00 4.673857167840844800e+18 1.253136031720729969e+20 2.732344783010079375e+20 3.062127976840902083e+20 2.479169343793672684e+20 1.282901971013771264e+20
8.000000000000000000e+00 4.673855716304057344e+18 1.253118056222309253e+20 2.731902994412312986e+20 3.058745655122037965e+20 2.473554838890689331e+20 1.272970384708298670e+20
8.500000000000000000e+00 4.673854264826421248e+18 1.253100087433095905e+20 2.731462838878136566e+20 3.055426273432372511e+20 2.468100087115442422e+20 1.263442374506662953e+20
9.000000000000000000e+00 4.673852813407932416e+18 1.253082125345503314e+20 2.731024297795302851e+20 3.052166282596312023e+20 2.462793965632254116e+20 1.254284259298781757e+20
9.500000000000000000e+00 4.673851362048585728e+18 1.253064169951959450e+20 2.730587352905946563e+20 3.048962461025805926e+20 2.457626567535335178e+20 1.245466701314683372e+20
